CODIGO_E_NOME_DA_CARREIRA,VAGAS,INSCRITOS,AUSENTES,CONVOC_2_FASE,CONVOC_POR_VAGA,CORTE_MIN,MAX
855−Química − Bacharelado e Licenciatura,,,,,,,
− Ampla Concorrência,50,462,27,200,4.00,49,77
− Candidatos de Escola Pública,20,220,20,80,4.00,44,68
− Candidatos de Escola Pública − Grupo PPI,14,70,5,56,4.00,28,58
865−Química − Licenciatura − Ribeirão Preto,,,,,,,
− Ampla Concorrência,15,46,3,37,2.47,27,72
− Candidatos de Escola Pública,8,10,2,7,0.88,27,48
− Candidatos de Escola Pública − Grupo PPI,5,5,0,5,1.00,33,64
870−Química (Bacharelado e Bacharelado com Atribuições Tecnológicas com Ê...,,,,,,,
− Ampla Concorrência,23,112,2,92,4.00,35,76
− Candidatos de Escola Pública,11,52,5,42,3.82,27,59
− Candidatos de Escola Pública − Grupo PPI,8,9,1,6,0.75,32,50
875−Sistemas de Informação − São Carlos,,,,,,,
− Ampla Concorrência,19,217,16,78,4.11,46,70
− Candidatos de Escola Pública,10,104,18,40,4.00,38,62
− Candidatos de Escola Pública − Grupo PPI,6,21,1,18,3.00,27,60
999−Treinamento E (Exatas),,,,,,,
− Ampla Concorrência,180,3177,136,734,4.08,54,82
− Candidatos de Escola Pública,75,308,16,272,3.63,27,74
− Candidatos de Escola Pública − Grupo PPI,45,45,6,29,0.64,27,54
Total,,,,,,,
− Ampla Concorrência,5964,94888,6566,23938,4.01,,88
− Candidatos de Escola Pública,2082,26372,2745,7943,3.82,,82
− Candidatos de Escola Pública − Grupo PPI,1171,7896,941,3043,2.60,,82
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
